Numéro de notice,Titre,Facteur ou auteur,Type d'objet,Instrument niveau 1,Instrument niveau 2,Instrument niveau 3,Collection d'origine,Incontournable,URL Photographie,URL Enregistrement,Enregistrement,Continent,Pays,Code ISO-2,Ville,Coordonnées,Autres descripteurs géographiques
774034,Guitare / E.2005.6.3,Anonyme,Instrument de musique,Instrument à cordes,Guitares,Guitare,,,https://mimo-international.com/media/CM/IMAGE/CMIM000027782.jpg,,,Europe,Espagne,ES,,,
774035,Piano numérique / E.2005.6.4,Anonyme,Instrument de musique,Instrument à clavier,Pianos,Piano numérique,,,https://mimo-international.com/media/CM/IMAGE/CMIM000032440.jpg,,,Asie,Japon,JP,,,
774037,Flûte à conduit / E.2005.6.5,Anonyme,Instrument de musique,Instrument à vent,Flûtes,Flûte à conduit,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028257.jpg,,,Afrique,,,,,Maghreb
774038,Flûte à conduit / E.2005.6.6,Anonyme,Instrument de musique,Instrument à vent,Flûtes,Flûte à conduit,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028258.jpg,,,Afrique,,,,,Maghreb
774039,Flûte à conduit / E.2005.6.7,Anonyme,Instrument de musique,Instrument à vent,Flûtes,Flûte à conduit,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028260.jpg,,,Afrique,,,,,Maghreb
774040,Flûte à conduit / E.2005.6.8,Anonyme,Instrument de musique,Instrument à vent,Flûtes,Flûte à conduit,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028262.jpg,,,Afrique,,,,,Maghreb
774041,"Luth ""guinbri"" ou ""lotar"" / E.2005.6.9",Anonyme,Instrument de musique,Instrument à cordes,Luths,Guinbri,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028800.jpg,,,Afrique,,,,,Maghreb
774042,"Tambour ""darabukka"" / E.2005.6.10",Anonyme,Instrument de musique,Instrument à percussion,Tambours,Darabukka,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028795.jpg,,,Afrique,,,,,Maghreb
774048,"Cymbale ""sanj"" / E.2003.2.8.1",Anonyme,Instrument de musique,Instrument à percussion,Cymbales,Sanj,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028253.jpg,,,Asie,Inde,IN,,,
774502,"Fac-similé d'un luth à sept choeurs de Jacob Hes (D.AD.40381, musée des Arts Décoratifs, Paris) / F.2","Murphy, Stephen",Instrument de musique,Instrument à cordes,Luths,Luth,,,https://mimo-international.com/media/CM/IMAGE/CMIM000033289.jpg,https://mimo-international.com/media/CM/AUDIO/CM0774502eCOAU000367801_02.mp3,"Ricercar anonyme. Pascale Boquet, luth",Europe,France,FR,Mollans-sur-Ouvèze,"44.23665, 5.18962",
774504,"Fac-similé du théorbe de Matteo Sellas (E.547, musée de la Musique, Paris) / F.7","Gonzales, Carlos",Instrument de musique,Instrument à cordes,Luths,Théorbe,,,https://mimo-international.com/media/CM/IMAGE/CMIM000033283.jpg,https://mimo-international.com/media/CM/AUDIO/CM0774504eCOAU000367801_07.mp3,"Chiaccona Alessandro di Piccinini. Jean-Luc Tamby, théorbe",Europe,France,FR,,,
774510,"Fac-similé d'une flûte traversière de Hotteterre, dit le Romain (E.999.6.1, Musée de la musique, Paris) / F.12","Soubeyran, Claire (1949-2018)",Instrument de musique,Instrument à vent,Flûtes,Flûte traversière,,,https://mimo-international.com/media/CM/IMAGE/CMIM000033293.jpg,,,Europe,France,FR,,,
774514,"Fac-similé d'un archicistre (ceterone) de Gironimo Campi (musée Bardini, Florence) / F.1","Gonzales, Carlos",Instrument de musique,Instrument à cordes,Cistres,Ceterone,,,https://mimo-international.com/media/CM/IMAGE/CMIM000033298.jpg,,,Europe,France,FR,,,
774515,"Copie d'un archet de violon inspirée par un modèle de Tourte (E.406, Musée de la musique, Paris) / F.14","Raffin, Jean-François (1947-....)",Élément d'instrument de musique,,,,,,https://mimo-international.com/media/CM/IMAGE/CMIM000033304.jpg,,,Europe,France,FR,,,
779114,Dessin technique de piano à queue Pleyel L / E.981.18.469,M. M,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779115,Dessin technique de piano à queue Pleyel L / E.981.18.469,M. M,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779117,Dessin technique de piano à queue Pleyel L / E.981.18.457,Brunet,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779119,Dessin technique de piano à queue Pleyel L / E.981.18.458,M. M,Document écrit,,,,,,,,,Europe,France,FR,Paris,"48.85341, 2.3488",Saint-Denis
779120,Dessin technique de piano à queue Pleyel L / E.981.18.459,M. M,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779122,Dessin technique de piano à queue Pleyel L / E.981.18.460,Anonyme,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779125,Dessin technique de piano à queue Pleyel L / E.981.18.461,Anonyme,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779126,Dessin technique de piano à queue Pleyel L / E.981.18.466,M. M,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779127,Dessin technique de piano à queue Pleyel L / E.981.18.463,M. M,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779128,Dessin technique de piano à queue Pleyel L / E.981.18.464,M. M,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779130,Dessin technique de piano à queue Pleyel L / E.981.18.465,M. M,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779131,Dessin technique de piano Pleyel L / E.981.18.466,M. M,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779132,Dessin technique de piano à queue Pleyel L / E.981.18.467,M. M,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779133,Dessin technique de piano à queue Pleyel L / E.981.18.468,M. M,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779135,Dessin technique de piano à queue Pleyel. L / E.981.18.468,M. M,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
779136,Dessin technique de piano à queue Pleyel. L / E.981.18.469,M. M,Document écrit,,,,,,,,,Europe,France,FR,Saint-Denis,"48.93564, 2.35387",
787862,"Métallophone sur cadre circulaire ""kyi-wang"" / E.1031",Anonyme,Instrument de musique,Instrument à percussion,Métallophones,Kyi-waing,,,https://mimo-international.com/media/CM/IMAGE/CMIM000030469.jpg,,,Asie,Cambodge,KH,,,Asie du Sud-Est
787865,"Sifflet éolien ""kotze"" / E.01473",Anonyme,Instrument de musique,Instrument à vent,Flûtes,Sifflet,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028192.jpg,,,Asie,Chine,CN,,,Extrême Orient
787867,"Flûte éolienne ""kotze"" / E.01474",Anonyme,Instrument de musique,Instrument à vent,Flûtes,Flûte,,,https://mimo-international.com/media/CM/IMAGE/CMIM000027460.jpg,,,Asie,Chine,CN,,,Extrême Orient
787875,Tambour sur fût tronconique / E.862,Anonyme,Instrument de musique,,,,Sourindro Mohun Tagore,x,https://mimo-international.com/media/CM/IMAGE/CMIM000027637.jpg,,,Asie,Inde,IN,,,Asie du Sud
787877,"Tambour à fente ""mokugyo"" / E.1745",Anonyme,Instrument de musique,Instrument à percussion,Tambour à fente,Mokugyo,Pauline Tarn,,https://mimo-international.com/media/CM/IMAGE/CMIM000028214.jpg,,,Asie,Japon,JP,,,Extrême Orient
