iso_a3,name,latitude,longitude
BDI,Burundi,-3.3773910753554657,29.91389229542573
ISR,Israel,31.4849193900197,35.003851206429005
LBN,Lebanon,33.91182720781994,35.87098632001643
MDG,Madagascar,-19.356114077828778,46.69117091471639
PSE,Palestine,31.94113662241515,35.27331962289024
GMB,Gambia,13.47533435870166,-15.431872807730837
TUN,Tunisia,34.172939036882376,9.534716120695835
DZA,Algeria,28.185481278657537,2.5980477916183444
JOR,Jordan,31.245490584748417,36.77945490632519
ARE,United Arab Emirates,23.86863365334761,54.20671476159633
QAT,Qatar,25.32185097420669,51.1835025789133
KWT,Kuwait,29.307266634033564,47.600098887626416
IRQ,Iraq,33.03682096372491,43.75691096461423
OMN,Oman,20.611174374229545,56.09867281997542
VUT,Vanuatu,-15.542677057554924,167.07375126822674
KHM,Cambodia,12.684728629393506,104.87608532525192
THA,Thailand,15.01697499141648,101.00613354626108
LAO,Laos,18.444978089036088,103.75025989504465
MMR,Myanmar,21.016999873773827,96.50584094206161
VNM,Vietnam,16.657937753254938,106.28584079705195
PRK,North Korea,40.14302033650109,127.16501590888976
KOR,South Korea,36.42759860415487,127.8213171283307
MNG,Mongolia,46.82368112626357,102.94640620846634
IND,India,22.92500640740852,79.59370376325381
BGD,Bangladesh,23.83946179534406,90.26792827719598
BTN,Bhutan,27.427968649102027,90.4724248062037
NPL,Nepal,28.23944001904935,84.01317367692529
PAK,Pakistan,29.973460025547393,69.41399806318127
AFG,Afghanistan,33.85639928169076,66.08669022192831
TJK,Tajikistan,38.58308146421082,71.03443504896113
KGZ,Kyrgyzstan,41.50689371318262,74.62040481092558
TKM,Turkmenistan,39.09124018017583,59.27543026236141
IRN,Iran,32.51891731762539,54.285451496891426
SYR,Syria,35.012614281129,38.54423941961137
ARM,Armenia,40.21660761230143,45.00029001101479
SWE,Sweden,62.811484968080336,16.59626584684802
BLR,Belarus,53.50634479481114,27.98135261544803
UKR,Ukraine,48.97301760592337,31.369528906580406
POL,Poland,52.14826021933187,19.31101430844868
AUT,Austria,47.6139487927463,14.076158884337072
HUN,Hungary,47.19995117195427,19.357628627745918
MDA,Moldova,47.20367642606752,28.41048279080328
ROU,Romania,45.857101035738005,24.943252494635377
LTU,Lithuania,55.284319484766066,23.88064027584349
LVA,Latvia,56.80717513427924,24.833296149803438
